order_id,customer_name,email,phone,city,country,category,product_name,quantity,unit_price,discount_pct,total_price,payment_method,coupon_code,order_date,status,is_returning_customer,rating
8B9B8C33,Raj Brown,raj.brown4@outlook.com,+1-632-132-1488,Mexico City,Mexico,Clothing,Denim Jacket,1,46.97,0.17,38.99,Credit Card,,2025-09-14,Delivered,True,5.0
E67C08AE,Evelyn Smith,evelyn.smith72@yahoo.com,+1-632-448-5552,Rome,Italy,Sports,Jump Rope,5,13.3,0.07,61.84,Debit Card,,2024-03-11,Delivered,False,1.0
7699CBC8,Liam Jackson,liam.jackson13@outlook.com,+1-280-665-5803,Mumbai,India,Books,Cooking Basics,1,20.28,0.18,16.63,Gift Card,,2025-09-05,Pending,False,3.0
07541AB1,Arjun Williams,arjun.williams6@yahoo.com,+1-579-463-4432,Toronto,Canada,Books,Python Programming,1,45.65,0.1,41.09,Gift Card,NEWUSER15,2025-06-12,Delivered,True,2.0
F5579112,Harper Wang,harper.wang32@yahoo.com,+1-232-924-6168,Sydney,Australia,Home & Kitchen,Blender,5,52.54,0.05,249.56,UPI,,2025-01-31,Delivered,True,3.0
E834FA6E,Maria Kumar,maria.kumar92@outlook.com,+1-774-651-5304,Rome,Italy,Clothing,Sneakers,4,99.93,0.04,383.73,Gift Card,SAVE10,2024-07-25,Pending,False,5.0
C53A529D,Mia Davis,mia.davis18@icloud.com,+1-265-494-7252,Mexico City,Mexico,Home & Kitchen,Air Fryer,1,128.01,0.04,122.89,Bank Transfer,FLASH5,2024-08-15,Shipped,False,5.0
04605865,Mei Smith,mei.smith88@gmail.com,+1-203-839-5315,São Paulo,Brazil,Sports,Resistance Bands,3,34.2,0.03,99.52,Bank Transfer,,2025-05-24,Returned,True,5.0
F0BB932A,Maria Brown,maria.brown81@outlook.com,+1-531-600-1319,Mexico City,Mexico,Sports,Water Bottle,3,18.97,0.19,46.1,Credit Card,,2025-09-08,Delivered,False,3.0
597C609C,Emma Davis,emma.davis73@gmail.com,+1-875-586-3705,Toronto,Canada,Electronics,Mechanical Keyboard,1,128.03,0.24,97.3,PayPal,,2025-09-01,Pending,False,3.0
9FE5EFA6,Maria Robinson,maria.robinson97@yahoo.com,+1-453-330-2049,London,United Kingdom,Books,Sci-Fi Novel,3,19.94,0.11,53.24,PayPal,DEAL25,2025-08-16,Delivered,True,3.0
54A697CE,James Williams,james.williams91@gmail.com,+1-697-319-9834,Amsterdam,Netherlands,Clothing,Running Shoes,3,113.37,0.02,333.31,Debit Card,SUMMER20,2024-11-03,Cancelled,False,3.0
6D7F4D67,Fatima Martin,fatima.martin53@yahoo.com,+1-869-761-2612,Amsterdam,Netherlands,Electronics,Wireless Earbuds,3,102.71,0.11,274.24,Credit Card,,2025-06-26,Shipped,False,1.0
58DC0992,Sophia Miller,sophia.miller25@icloud.com,+1-300-151-9856,Tokyo,Japan,Home & Kitchen,Coffee Maker,3,73.74,0.12,194.67,Credit Card,DEAL25,2024-05-21,Delivered,True,2.0
23858942,Charlotte Martin,charlotte.martin62@yahoo.com,+1-633-813-8973,Berlin,Germany,Home & Kitchen,Air Fryer,1,74.81,0.25,56.11,Debit Card,DEAL25,2024-12-01,Delivered,False,3.0
4C75B4E3,Emma Kumar,emma.kumar95@icloud.com,+1-720-182-4044,New York,United States,Electronics,Mechanical Keyboard,1,103.89,0.15,88.31,Credit Card,,2025-08-01,Pending,True,3.0
A24178D5,Henry Brown,henry.brown73@yahoo.com,+1-409-785-6147,Berlin,Germany,Sports,Water Bottle,1,15.78,0.1,14.2,Debit Card,NEWUSER15,2025-10-23,Delivered,False,2.0
364C4772,Priya Sharma,priya.sharma39@hotmail.com,+1-418-618-5345,Tokyo,Japan,Books,Python Programming,5,20.27,0.25,76.01,Debit Card,,2024-06-15,Delivered,True,3.0
63497992,Mia Taylor,mia.taylor21@hotmail.com,+1-306-999-3200,Amsterdam,Netherlands,Sports,Resistance Bands,5,30.28,0.0,151.4,PayPal,SUMMER20,2025-09-23,Delivered,True,5.0
FC16011D,Noah Wilson,noah.wilson37@icloud.com,+1-849-533-5533,London,United Kingdom,Clothing,Sneakers,3,87.42,0.13,228.17,Credit Card,,2024-11-17,Delivered,False,2.0
4566D68E,Raj Wilson,raj.wilson21@hotmail.com,+1-236-954-7049,Tokyo,Japan,Sports,Jump Rope,1,18.4,0.02,18.03,Bank Transfer,,2026-02-10,Pending,True,5.0
EE902783,Noah Johnson,noah.johnson40@outlook.com,+1-967-258-4878,Mexico City,Mexico,Electronics,USB-C Hub,2,40.49,0.17,67.21,Debit Card,FLASH5,2025-03-02,Returned,True,5.0
5EA3E470,James Garcia,james.garcia95@outlook.com,+1-239-979-8711,Mumbai,India,Home & Kitchen,Cutting Board,2,32.0,0.07,59.52,Debit Card,,2026-02-21,Delivered,False,4.0
